Date,ACCNO,Cust State,Cust Pin,DPD
08-03-2024,92262X8X94X,ARUNACHAL PRADESH,791121,83
08-03-2024,9226X8267X,ARUNACHAL PRADESH,791113,21
08-03-2024,92262344427,ARUNACHAL PRADESH,791112,30
08-03-2024,9226X9822,ARUNACHAL PRADESH,791113,50
08-03-2024,92269244,ARUNACHAL PRADESH,791121,25
08-03-2024,9226339X983,ARUNACHAL PRADESH,790102,85
08-03-2024,922624388X,ARUNACHAL PRADESH,791112,53
08-03-2024,9236234892X,ARUNACHAL PRADESH,791110,90
08-03-2024,92262X62649,ASSAM,781128,22
08-03-2024,92269746,ASSAM,783383,8
08-03-2024,922697874,ASSAM,784161,16
08-03-2024,92267X622,ASSAM,781314,44
08-03-2024,9226X2927,ODISHA,767019,38
08-03-2024,9226684,ODISHA,768110,21
08-03-2024,92262762,ODISHA,767019,42
08-03-2024,922636673,ODISHA,767023,54
08-03-2024,9226X8347,ODISHA,761055,22
08-03-2024,92262388,ODISHA,764059,4
08-03-2024,922673X,ODISHA,766105,45
08-03-2024,9226346294,ODISHA,756164,43
08-03-2024,922639989,ODISHA,767019,36
08-03-2024,9226486X,ODISHA,762027,26
08-03-2024,9226X994,TRIPURA,799207,66
08-03-2024,9226X238778,TRIPURA,799131,12
08-03-2024,9226X678367,TRIPURA,799155,9
08-03-2024,9226246X276,TRIPURA,799280,62
08-03-2024,9226X663X32,TRIPURA,799131,72
08-03-2024,9226X664X48,TRIPURA,799277,60
08-03-2024,92262X228,TRIPURA,799102,1
08-03-2024,92264982X784,TRIPURA,799120,63
08-03-2024,922629763X,TRIPURA,799003,31
08-03-2024,922643294,TRIPURA,799155,31
08-03-2024,92262778394,TRIPURA,799009,18
08-03-2024,9226X7638,WEST BENGAL,732127,44
08-03-2024,92262X63X47,WEST BENGAL,731242,89
08-03-2024,9226X369,WEST BENGAL,741101,50
08-03-2024,9226X2983,WEST BENGAL,735210,71
08-03-2024,92262XX6X9,WEST BENGAL,711302,11
08-03-2024,9226X62X23,WEST BENGAL,735121,49
08-03-2024,9226X8728,WEST BENGAL,713152,70
08-03-2024,9226X982X,WEST BENGAL,736156,76
08-03-2024,9226239843,WEST BENGAL,742304,84
08-03-2024,9226X29848,WEST BENGAL,700056,27
08-03-2024,9226X22276,WEST BENGAL,735140,13
08-03-2024,9226X2X72X,WEST BENGAL,713166,54
08-03-2024,9226X2X2899,WEST BENGAL,731123,76
08-03-2024,9226X633733,WEST BENGAL,732102,51
08-03-2024,9226874XX,WEST BENGAL,721504,51
08-03-2024,922687862,WEST BENGAL,736118,2
08-03-2024,9226848X4,WEST BENGAL,735302,8
08-03-2024,9226X93868,WEST BENGAL,721436,68
08-03-2024,9226X9884,WEST BENGAL,711302,61
08-03-2024,9226X2367X,WEST BENGAL,736168,38
08-03-2024,9226X2X8,WEST BENGAL,721505,69
08-03-2024,9226288266,WEST BENGAL,713430,13
08-03-2024,9226X237322,WEST BENGAL,721158,33
